Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.11,,Control,9.176859799,-0.7031564594,-2.341921784,0.7031564594,2.341921784,-1.574357077,0.4226013078,-0.2437850206,-0.4226013078,0.2437850206,4.510407809,0.05509884558,2.750527943,3.471456914,-5.303600889,12.52002441,8.396121417,-1.596541254,9.12851524,1.311688214,5.031913002,3.976359443,-0.1902697942,-4.733512004,5.522402526,6.037420953,8.140879252,1.039764185
0.115,,Control,9.140648263,-0.6940185792,-2.329185102,0.6940185792,2.329185102,-1.585455531,0.431963678,-0.2292838371,-0.431963678,0.2292838371,4.460312378,0.002890782693,2.731396755,3.446292625,-5.269008042,12.55480423,8.458690464,-1.585552273,9.142680131,1.25833845,5.053863488,4.000086499,-0.1918152275,-4.759420813,5.444283891,6.02707552,8.126408332,1.067785779
0.12,,Control,9.104396351,-0.6856900028,-2.31846478,0.6856900028,2.31846478,-1.598766829,0.4395164329,-0.216972508,-0.4395164329,0.216972508,4.410172613,-0.0480971116,2.719137912,3.420072535,-5.231072314,12.5873779,8.518247622,-1.571323805,9.153322931,1.205755001,5.071680336,4.02722238,-0.1913063791,-4.788134618,5.368600783,6.016891576,8.11222726,1.09556505
0.125,,Control,9.068057346,-0.6782560079,-2.309722095,0.6782560079,2.309722095,-1.614169622,0.444919852,-0.2072485153,-0.444919852,0.2072485153,4.359783769,-0.09785147233,2.714449089,3.393214007,-5.191006611,12.61721955,8.574623992,-1.554190026,9.159973254,1.153839943,5.085387413,4.057495601,-0.1889240839,-4.819409594,5.295235922,6.006657708,8.098630933,1.123036961
0.13,,Control,9.031513795,-0.6718241548,-2.302895075,0.6718241548,2.302895075,-1.631482547,0.4479031392,-0.2004278096,-0.4479031392,0.2004278096,4.308860424,-0.1463369573,2.717902573,3.366135506,-5.150016018,12.643706,8.627774248,-1.534679514,9.162089439,1.102516859,5.095091972,4.090499344,-0.184949474,-4.85291111,5.224070041,5.996134569,8.085895343,1.15013708
0.135,,Control,8.994611404,-0.6665209001,-2.297903617,0.6665209001,2.297903617,-1.650486555,0.4482732679,-0.1967423926,-0.4482732679,0.1967423926,4.257076726,-0.1934930052,2.729921329,3.33924145,-5.109279431,12.66616624,8.677786189,-1.513498514,9.158999344,1.051737706,5.10100938,4.125670761,-0.1797870928,-4.888181656,5.155004773,5.9850674,8.074267333,1.176809512
0.14,,Control,8.957184169,-0.6624866725,-2.294641066,0.6624866725,2.294641066,-1.670937496,0.445913433,-0.1963547531,-0.445913433,0.1963547531,4.204112323,-0.2392296253,2.750762562,3.312912504,-5.069942305,12.68392941,8.724854601,-1.491496222,9.149841987,1.001498527,5.103474741,4.162281056,-0.1739777152,-4.924618494,5.087990094,5.973204356,8.063952778,1.203012855
0.145,,Control,8.919071824,-0.6598704615,-2.292965097,0.6598704615,2.292965097,-1.692569794,0.4407768897,-0.199382129,-0.4407768897,0.199382129,4.14968272,-0.2834262487,2.780491762,3.287498518,-5.033112232,12.6963541,8.76922239,-1.469614231,9.133525205,0.9518534873,5.102902998,4.19944941,-0.1681554802,-4.961465988,5.023047028,5.960320872,8.05510779,1.228725612
0.15,,Control,8.880131237,-0.6588227773,-2.292699576,0.6588227773,2.292699576,-1.715099347,0.4328793143,-0.2059106307,-0.4328793143,0.2059106307,4.093557235,-0.3259361203,2.818951002,3.263318289,-4.999859057,12.70283992,8.811101653,-1.448823404,9.108713741,0.9029046426,5.09969552,4.236168277,-0.1629530664,-4.997809313,4.960258979,5.946244865,8.047830167,1.253948041
0.155,,Control,8.840243478,-0.6594903825,-2.293652241,0.6594903825,2.293652241,-1.738226734,0.4222869795,-0.2159923151,-0.4222869795,0.2159923151,4.03556515,-0.3665967409,2.865725351,3.240666986,-4.971212326,12.70282134,8.850585352,-1.430057591,9.07385636,0.854797354,5.094169277,4.271341694,-0.1589267442,-5.032586465,4.899762061,5.930874456,8.042153428,1.278701124
